GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-01-30 19:00:00,24.57,1,1,5,80,40.0,169.085,171.92,39219.75,147.2375
2023-01-30 23:00:00,10.0,1,1,6,80,39.0,139.915,144.595,33932.875,128.775
2023-01-31 03:00:00,10.96,1,2,1,80,48.0,117.63,121.09,23406.75,75.125
2023-01-31 07:00:00,23.66,1,2,2,80,60.0,104.375,102.24000000000001,22913.25,90.075
2023-01-31 11:00:00,20.16,1,2,3,80,75.0,146.89249999999998,151.64249999999998,33649.5,151.58125
2023-01-31 15:00:00,22.66,1,2,4,80,59.0,125.075,127.55,31479.875,134.425
2023-01-31 19:00:00,10.0,1,2,5,80,61.0,152.35,149.98000000000002,36522.375,173.50625
2023-01-31 23:00:00,8.0,1,2,6,80,28.0,134.95,134.5025,31854.0,143.0375
2023-02-01 03:00:00,10.0,2,3,1,80,42.0,91.125,92.39500000000001,22119.375,123.3
2023-02-01 07:00:00,16.33,2,3,2,80,58.0,88.875,87.565,21936.375,108.5125
2023-02-01 11:00:00,15.0,2,3,3,80,66.0,148.525,148.3925,32295.0,148.8
2023-02-01 15:00:00,20.0,2,3,4,80,65.0,122.925,120.13499999999999,32142.875,117.25
2023-02-01 19:00:00,11.9,2,3,5,80,39.0,149.8625,150.7525,37101.125,150.21875
2023-02-01 23:00:00,10.0,2,3,6,80,52.0,141.875,140.54,32556.0,142.66875
2023-02-02 03:00:00,6.0,2,4,1,80,59.0,111.775,108.79,23367.0,99.74375
2023-02-02 07:00:00,15.36,2,4,2,80,82.0,114.225,112.175,22987.5,93.15625
2023-02-02 11:00:00,13.98,2,4,3,80,71.0,152.075,147.5875,33542.375,144.6875
